Size, Type, Time
10, "Sequential", 0.000002
10, "Parallel", 0.006624
10, "Built-in", 0.000004
10, "Sequential", 0.000002
10, "Parallel", 0.008325
10, "Built-in", 0.000005
10, "Sequential", 0.000001
10, "Parallel", 0.004443
10, "Built-in", 0.000009
10, "Sequential", 0.000001
10, "Parallel", 0.005789
10, "Built-in", 0.000003
10, "Sequential", 0.000001
10, "Parallel", 0.003129
10, "Built-in", 0.000003
10, "Sequential", 0.000001
10, "Parallel", 0.002776
10, "Built-in", 0.000003
10, "Sequential", 0.000001
10, "Parallel", 0.002844
10, "Built-in", 0.000004
10, "Sequential", 0.000001
10, "Parallel", 0.004722
10, "Built-in", 0.000005
10, "Sequential", 0.000001
10, "Parallel", 0.003213
10, "Built-in", 0.000004
10, "Sequential", 0.000001
10, "Parallel", 0.002141
10, "Built-in", 0.000003
50, "Sequential", 0.000007
50, "Parallel", 0.041559
50, "Built-in", 0.000012
50, "Sequential", 0.000009
50, "Parallel", 0.015613
50, "Built-in", 0.000009
50, "Sequential", 0.000009
50, "Parallel", 0.017500
50, "Built-in", 0.000012
50, "Sequential", 0.000008
50, "Parallel", 0.023946
50, "Built-in", 0.000012
50, "Sequential", 0.000009
50, "Parallel", 0.023743
50, "Built-in", 0.000011
50, "Sequential", 0.000008
50, "Parallel", 0.023492
50, "Built-in", 0.000011
50, "Sequential", 0.000007
50, "Parallel", 0.026884
50, "Built-in", 0.000010
50, "Sequential", 0.000008
50, "Parallel", 0.022379
50, "Built-in", 0.000012
50, "Sequential", 0.000009
50, "Parallel", 0.022160
50, "Built-in", 0.000008
50, "Sequential", 0.000008
50, "Parallel", 0.027321
50, "Built-in", 0.000010
100, "Sequential", 0.000016
100, "Parallel", 0.032442
100, "Built-in", 0.000020
100, "Sequential", 0.000017
100, "Parallel", 0.034445
100, "Built-in", 0.000015
100, "Sequential", 0.000013
100, "Parallel", 0.029918
100, "Built-in", 0.000021
100, "Sequential", 0.000017
100, "Parallel", 0.032391
100, "Built-in", 0.000017
100, "Sequential", 0.000015
100, "Parallel", 0.032323
100, "Built-in", 0.000021
100, "Sequential", 0.000016
100, "Parallel", 0.023821
100, "Built-in", 0.000016
100, "Sequential", 0.000017
100, "Parallel", 0.040537
100, "Built-in", 0.000020
100, "Sequential", 0.000018
100, "Parallel", 0.028407
100, "Built-in", 0.000019
100, "Sequential", 0.000017
100, "Parallel", 0.026861
100, "Built-in", 0.000017
100, "Sequential", 0.000017
100, "Parallel", 0.036622
100, "Built-in", 0.000020
500, "Sequential", 0.000096
500, "Parallel", 0.172009
500, "Built-in", 0.000120
500, "Sequential", 0.000093
500, "Parallel", 0.108054
500, "Built-in", 0.000119
