Size, Seq, Par, Libc
10, 0.000003, 0.003882, 0.000006
50, 0.000013, 0.041274, 0.000015
100, 0.000021, 0.042682, 0.000021
500, 0.000138, 0.137571, 0.000119
1000, 0.000223, 0.183698, 0.000228
5000, 0.001264, 0.226364, 0.001282
10000, 0.002224, 0.313500, 0.002437
50000, 0.011681, 0.464823, 0.011524
100000, 0.022272, 0.310045, 0.026348
500000, 0.137893, 0.393817, 0.128914
1000000, 0.273319, 0.442780, 0.269014
10, 0.000001, 0.004455, 0.000004
50, 0.000007, 0.013698, 0.000012
100, 0.000017, 0.031871, 0.000021
500, 0.000113, 0.108765, 0.000118
1000, 0.000226, 0.161153, 0.000233
5000, 0.001185, 0.288709, 0.001288
10000, 0.002041, 0.208195, 0.002403
50000, 0.011398, 0.391351, 0.011365
100000, 0.023939, 0.328495, 0.022370
500000, 0.128413, 0.314147, 0.127203
1000000, 0.271604, 0.377076, 0.266530
10, 0.000001, 0.001841, 0.000003
50, 0.000006, 0.017384, 0.000012
100, 0.000017, 0.023325, 0.000021
500, 0.000103, 0.143564, 0.000125
1000, 0.000228, 0.164256, 0.000238
5000, 0.001323, 0.246178, 0.001298
10000, 0.002158, 0.368818, 0.002373
50000, 0.011560, 0.397714, 0.012357
100000, 0.023390, 0.320725, 0.022364
500000, 0.131253, 0.321255, 0.126962
1000000, 0.270631, 0.449114, 0.264428
10, 0.000001, 0.004141, 0.000003
50, 0.000005, 0.023948, 0.000011
100, 0.000017, 0.019460, 0.000016
500, 0.000074, 0.074089, 0.000123
1000, 0.000234, 0.145637, 0.000235
5000, 0.001151, 0.253335, 0.001248
10000, 0.002100, 0.254240, 0.002473
50000, 0.010464, 0.364811, 0.011487
100000, 0.022582, 0.278393, 0.022617
500000, 0.131623, 0.331968, 0.127021
1000000, 0.271818, 0.408632, 0.272117
10, 0.000001, 0.003737, 0.000003
50, 0.000007, 0.015702, 0.000008
100, 0.000015, 0.024487, 0.000017
500, 0.000110, 0.110689, 0.000120
1000, 0.000229, 0.148650, 0.000281
5000, 0.001207, 0.291564, 0.001144
10000, 0.001936, 0.284127, 0.002252
50000, 0.010938, 0.274348, 0.011447
100000, 0.023522, 0.401265, 0.025143
500000, 0.130016, 0.461246, 0.125245
1000000, 0.270210, 0.504437, 0.264096
