Size, Type, Time
100, "Sequential", 0.000010
100, "Parallel", 0.004024
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.004448
100, "Built-in", 0.000014
100, "Sequential", 0.000009
100, "Parallel", 0.003384
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.003738
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.003133
100, "Built-in", 0.000011
1000, "Sequential", 0.000128
1000, "Parallel", 0.020407
1000, "Built-in", 0.000209
1000, "Sequential", 0.000126
1000, "Parallel", 0.022003
1000, "Built-in", 0.000201
1000, "Sequential", 0.000128
1000, "Parallel", 0.016149
1000, "Built-in", 0.000210
1000, "Sequential", 0.000128
1000, "Parallel", 0.014594
1000, "Built-in", 0.000209
1000, "Sequential", 0.000129
1000, "Parallel", 0.014905
1000, "Built-in", 0.000210
10000, "Sequential", 0.001774
10000, "Parallel", 0.018943
10000, "Built-in", 0.001720
10000, "Sequential", 0.001698
10000, "Parallel", 0.016226
10000, "Built-in", 0.001733
10000, "Sequential", 0.001652
10000, "Parallel", 0.017348
10000, "Built-in", 0.001702
10000, "Sequential", 0.001680
10000, "Parallel", 0.017302
10000, "Built-in", 0.001726
10000, "Sequential", 0.001675
10000, "Parallel", 0.017386
10000, "Built-in", 0.001716
100000, "Sequential", 0.020040
100000, "Parallel", 0.050548
100000, "Built-in", 0.020300
100000, "Sequential", 0.020004
100000, "Parallel", 0.043119
100000, "Built-in", 0.020504
100000, "Sequential", 0.019763
100000, "Parallel", 0.050735
100000, "Built-in", 0.020439
100000, "Sequential", 0.019913
100000, "Parallel", 0.049806
100000, "Built-in", 0.020541
100000, "Sequential", 0.019726
100000, "Parallel", 0.044636
100000, "Built-in", 0.020252
1000000, "Sequential", 0.230648
1000000, "Parallel", 0.162221
1000000, "Built-in", 0.242869
1000000, "Sequential", 0.235778
1000000, "Parallel", 0.162137
1000000, "Built-in", 0.241607
1000000, "Sequential", 0.238383
1000000, "Parallel", 0.163279
1000000, "Built-in", 0.242786
1000000, "Sequential", 0.232921
1000000, "Parallel", 0.170237
1000000, "Built-in", 0.241583
1000000, "Sequential", 0.230096
1000000, "Parallel", 0.153896
1000000, "Built-in", 0.242492
